Run,POPONE,POPTWO,POPTHREE,DISPONE,DISPTWO,TDIVTWO,MaxEstLhood,MaxObsLhood,,,,,
1,2176,2090,1988,0.0038023,0.0056084,4473,-12454.437,-11925.868,,,,,
2,648,662,432,0.0121872,0.0230472,4396,-12511.379,-11925.868,,,,,
3,2476,3138,2440,0.0029546,0.0055126,5723,-12460.752,-11925.868,,,,,
4,4355,4509,5418,0.0015856,0.0028645,5262,-12467.154,-11925.868,,,,,
5,2125,2394,1846,0.0037518,0.0061991,4782,-12457.85,-11925.868,,,,,
6,2023,2323,1788,0.0035621,0.0059445,4794,-12458.754,-11925.868,,,,,
7,3273,2826,3797,0.0026458,0.0034146,5214,-12462.004,-11925.868,,,,,
8,3413,3268,3151,0.0024695,0.0032996,5713,-12459.085,-11925.868,,,,,
9,2599,2140,2419,0.0033593,0.0051772,4448,-12460.439,-11925.868,,,,,
10,2697,4023,2873,0.0028915,0.0046317,5730,-12458.182,-11925.868,,,,,
11,1787,2213,1510,0.0044177,0.0083654,4659,-12458.402,-11925.868,,,,,
12,173,280,145,0.043795,0.0695807,4294,-12519.908,-11925.868,,,,,
13,2054,2469,1557,0.0034891,0.0076979,4393,-12460.002,-11925.868,,,,,
14,2350,2581,2580,0.0032599,0.0045335,6271,-12459.575,-11925.868,,,,,
15,2602,2806,2121,0.002786,0.0044073,5422,-12458.692,-11925.868,,,,,
16,1889,1905,1573,0.0042659,0.0066911,3987,-12458.722,-11925.868,,,,,
17,2385,2642,2395,0.0032968,0.0057731,4846,-12457.277,-11925.868,,,,,
18,1376,2038,1018,0.0053118,0.0094294,4107,-12467.332,-11925.868,,,,,
19,2651,2511,2017,0.0032047,0.0052079,4313,-12459.668,-11925.868,,,,,
20,2119,2637,1492,0.0042323,0.0079533,4899,-12457.636,-11925.868,,,,,
21,2806,2567,3032,0.0029855,0.0047057,4574,-12460.608,-11925.868,,,,,
22,135,302,152,0.0397343,0.0704762,4634,-12523.409,-11925.868,,,,,
23,2850,2550,2707,0.0031857,0.0043379,5369,-12459.807,-11925.868,,,,,
24,2328,2713,2000,0.0032998,0.0059494,5047,-12457.637,-11925.868,,,,,
25,3283,3705,3088,0.002504,0.0032765,5930,-12458.178,-11925.868,,,,,
26,162,222,140,0.048537,0.0736726,5184,-12521.884,-11925.868,,,,,
27,3277,3428,3967,0.0022166,0.0028792,5418,-12462.681,-11925.868,,,,,
28,1856,1414,1274,0.0044415,0.0092279,4075,-12466.831,-11925.868,,,,,
29,154,242,132,0.043139,0.0883314,4589,-12523.367,-11925.868,,,,,
30,146,205,105,0.0478961,0.112804,5483,-12522.898,-11925.868,,,,,
31,2121,2181,2186,0.0032954,0.0055408,4528,-12459.265,-11925.868,,,,,
32,111,180,114,0.0507442,0.107301,5040,-12524.672,-11925.868,,,,,
33,340,464,235,0.0245018,0.050703,3900,-12520.588,-11925.868,,,,,
34,2329,2322,2040,0.0038207,0.0056268,4442,-12458.212,-11925.868,,,,,
35,2417,2603,2325,0.00349,0.0048912,4845,-12457.939,-11925.868,,,,,
36,2353,2724,2349,0.0036358,0.0047183,4948,-12457.229,-11925.868,,,,,
37,2072,2804,1926,0.0041196,0.0062009,4820,-12458.588,-11925.868,,,,,
38,128,244,140,0.0492656,0.0786323,5093,-12523.386,-11925.868,,,,,
39,268,459,316,0.025699,0.0468221,4945,-12521.987,-11925.868,,,,,
40,2271,2178,2022,0.0032917,0.0057305,4968,-12456.897,-11925.868,,,,,
41,1822,2163,1424,0.0040467,0.0078052,4147,-12457.187,-11925.868,,,,,
42,2334,2615,2061,0.0032308,0.0060908,4767,-12458.514,-11925.868,,,,,
43,2675,2621,2279,0.0035097,0.0052268,4873,-12457.29,-11925.868,,,,,
44,2071,2039,1884,0.0035411,0.0053059,4113,-12458.881,-11925.868,,,,,
45,122,235,157,0.052595,0.0746771,4534,-12523.127,-11925.868,,,,,
46,2477,2772,2555,0.0031879,0.0049842,4879,-12456.977,-11925.868,,,,,
47,2331,2667,1845,0.0032294,0.0057158,5529,-12455.554,-11925.868,,,,,
48,2014,2170,1366,0.0038655,0.008122,4982,-12460.947,-11925.868,,,,,
49,3166,4052,3449,0.0020066,0.00398,5830,-12461.043,-11925.868,,,,,
50,2376,2626,2194,0.003179,0.0057551,5163,-12458.926,-11925.868,,,,,
